#  
#       file = fg-B.gvc-i-5-05-0-vertex.txt  
# created on = Mon May 25 17:32:23 EDT 2015 
#         by = B.gvc.hasse 
# 
coordX	coordY	coord	value
5.5	0	00000	0
3.5	1	00001	0
4.5	1	00010	0
5.5	1	00100	0
6.5	1	01000	0
7.5	1	10000	0
1.0	2	00011	0
2.0	2	00101	0
3.0	2	00110	0
4.0	2	01001	0
5.0	2	01010	0
6.0	2	01100	0
7.0	2	10001	0
8.0	2	10010	0
9.0	2	10100	0
10.0	2	11000	0
1.0	3	00111	0
2.0	3	01011	0
3.0	3	01101	0
4.0	3	01110	0
5.0	3	10011	0
6.0	3	10101	0
7.0	3	10110	0
8.0	3	11001	0
9.0	3	11010	0
10.0	3	11100	0
3.5	4	01111	0
4.5	4	10111	0
5.5	4	11011	0
6.5	4	11101	0
7.5	4	11110	0
5.5	5	11111	0
