#  
#       file = fg-B.gvc-i-5-05-1-edge.txt  
# created on = Mon May 25 17:29:19 EDT 2015 
#         by = B.gvc.hasse 
# 
coordX0	coordY0	coordX1	coordY1
5.5	0	3.5	1
5.5	0	4.5	1
5.5	0	5.5	1
5.5	0	6.5	1
5.5	0	7.5	1
3.5	1	1.0	2
3.5	1	2.0	2
3.5	1	4.0	2
3.5	1	7.0	2
4.5	1	1.0	2
4.5	1	3.0	2
4.5	1	5.0	2
4.5	1	8.0	2
1.0	2	1.0	3
1.0	2	2.0	3
1.0	2	5.0	3
5.5	1	2.0	2
5.5	1	3.0	2
5.5	1	6.0	2
5.5	1	9.0	2
2.0	2	1.0	3
2.0	2	3.0	3
2.0	2	6.0	3
3.0	2	1.0	3
3.0	2	4.0	3
3.0	2	7.0	3
1.0	3	3.5	4
1.0	3	4.5	4
6.5	1	4.0	2
6.5	1	5.0	2
6.5	1	6.0	2
6.5	1	10.0	2
4.0	2	2.0	3
4.0	2	3.0	3
4.0	2	8.0	3
5.0	2	2.0	3
5.0	2	4.0	3
5.0	2	9.0	3
2.0	3	3.5	4
2.0	3	5.5	4
6.0	2	3.0	3
6.0	2	4.0	3
6.0	2	10.0	3
3.0	3	3.5	4
3.0	3	6.5	4
4.0	3	3.5	4
4.0	3	7.5	4
3.5	4	5.5	5
7.5	1	7.0	2
7.5	1	8.0	2
7.5	1	9.0	2
7.5	1	10.0	2
7.0	2	5.0	3
7.0	2	6.0	3
7.0	2	8.0	3
8.0	2	5.0	3
8.0	2	7.0	3
8.0	2	9.0	3
5.0	3	4.5	4
5.0	3	5.5	4
9.0	2	6.0	3
9.0	2	7.0	3
9.0	2	10.0	3
6.0	3	4.5	4
6.0	3	6.5	4
7.0	3	4.5	4
7.0	3	7.5	4
4.5	4	5.5	5
10.0	2	8.0	3
10.0	2	9.0	3
10.0	2	10.0	3
8.0	3	5.5	4
8.0	3	6.5	4
9.0	3	5.5	4
9.0	3	7.5	4
5.5	4	5.5	5
10.0	3	6.5	4
10.0	3	7.5	4
6.5	4	5.5	5
7.5	4	5.5	5
# hasse_vertices=32, hasse_edges=80
