# thisFile = xPeriment-config-P.lopT-config2/xPer-P.lopT-config2-pal-13-100-1901-sample.txt 
# configuration file = xPeriment-config-P.lopT-config2.tcl 
# created on Tue Apr 21 11:58:58 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-13-1-1901	13	NA	NA	NA	-55.0	-55	1	0	5	0.11047700000000002	3112	292	0	NA	12,6,9,7,1,10,4,13,8,2,11,5,3
pal-13-2-53335	13	NA	NA	NA	-55.0	-55	1	0	5	0.09353800000000002	2640	247	0	NA	8,9,2,3,12,6,7,1,10,11,4,13,5
pal-13-3-567930	13	NA	NA	NA	-55.0	-55	1	0	5	0.07314799999999999	2035	190	0	NA	9,7,1,10,4,13,8,2,11,3,12,5,6
pal-13-4-256020	13	NA	NA	NA	-55.0	-55	1	0	5	0.06861400000000001	1931	182	0	NA	8,9,1,10,2,11,3,12,4,13,7,5,6
pal-13-5-304520	13	NA	NA	NA	-55.0	-55	1	0	5	0.04310199999999998	1187	110	0	NA	9,3,12,10,4,13,7,8,1,2,11,6,5
pal-13-6-887245	13	NA	NA	NA	-55.0	-55	1	0	5	0.026541000000000006	731	68	0	NA	8,9,2,3,12,6,1,10,4,13,7,11,5
pal-13-7-244841	13	NA	NA	NA	-55.0	-55	1	0	5	0.032215	884	81	0	NA	11,9,3,12,6,7,1,10,4,13,5,8,2
pal-13-8-843586	13	NA	NA	NA	-55.0	-55	1	0	5	0.1695529999999994	4741	453	0	NA	9,3,12,13,7,1,10,4,8,2,11,5,6
pal-13-9-436548	13	NA	NA	NA	-55.0	-55	1	0	5	0.24216999999999897	6817	646	0	NA	9,7,1,10,13,8,2,11,3,12,5,6,4
pal-13-10-558338	13	NA	NA	NA	-55.0	-55	1	0	5	0.27234899999999895	7656	748	0	NA	9,3,12,1,4,13,7,10,5,8,2,11,6
pal-13-11-545556	13	NA	NA	NA	-55.0	-55	1	0	5	0.19710699999999923	5518	532	0	NA	9,3,12,6,4,7,1,10,13,8,2,11,5
pal-13-12-229548	13	NA	NA	NA	-55.0	-55	1	0	5	0.15256899999999965	4264	404	0	NA	9,1,10,4,13,7,8,2,11,12,5,3,6
pal-13-13-236192	13	NA	NA	NA	-55.0	-55	1	0	5	0.1647790000000001	4623	438	0	NA	8,12,6,9,10,3,1,4,13,7,2,11,5
pal-13-14-173257	13	NA	NA	NA	-55.0	-55	1	0	5	0.013081	352	32	0	NA	11,9,3,12,6,1,10,4,13,7,2,5,8
pal-13-15-842560	13	NA	NA	NA	-55.0	-55	1	0	5	0.06781500000000003	1907	177	0	NA	9,1,10,4,13,7,8,2,11,5,3,12,6
pal-13-16-478777	13	NA	NA	NA	-55.0	-55	1	0	5	0.07389400000000003	2075	193	0	NA	9,7,12,1,10,13,8,2,11,5,3,6,4
pal-13-17-267593	13	NA	NA	NA	-55.0	-55	1	0	5	0.038291000000000006	1065	101	0	NA	10,8,11,9,2,3,12,6,1,4,13,7,5
pal-13-18-591342	13	NA	NA	NA	-55.0	-55	1	0	5	0.11343499999999992	3198	298	0	NA	8,11,9,10,3,12,1,4,13,7,2,5,6
pal-13-19-818716	13	NA	NA	NA	-55.0	-55	1	0	5	0.14003000000000007	3901	368	0	NA	8,9,1,10,13,2,11,3,12,6,4,7,5
pal-13-20-91757	13	NA	NA	NA	-55.0	-55	1	0	5	0.07387999999999997	2091	196	0	NA	9,7,12,1,10,4,13,2,8,11,5,3,6
pal-13-21-512826	13	NA	NA	NA	-55.0	-55	1	0	5	0.043218000000000006	1215	112	0	NA	9,1,10,13,8,2,11,3,12,6,4,7,5
pal-13-22-997742	13	NA	NA	NA	-55.0	-55	1	0	5	0.004435	112	10	0	NA	8,11,3,6,9,12,1,10,4,13,7,5,2
pal-13-23-775817	13	NA	NA	NA	-55.0	-55	1	0	5	0.018763	517	47	0	NA	9,12,6,7,1,10,4,13,8,2,11,5,3
