# table.info_variables.csv ../xLib/B.lightp.info_variables.csv
# invoked on Thu May  7 10:01:13 EDT 2015
#
# This table documents principal variables defined under the function domain B.lightp
# B = binary-based coordinates, lightp = lights-out puzzle problem
#
# Valid values that are interpreted default values for optional arguments include:
#   integers, reals, FALSE, NA, strings of contiguous non-space characters other 
#   than the two special keywords 'required' and 'internal'. These two keywords are
#   interpreted internally to the program and do not represent optional arguments.
#
# Characters ';' and '"' should be excluded from variable description.
#
# All variable descriptions are limited to 80 characters per line; if description
# is on more than a single line, values of variableName and variableDefault must be 
# repeated for each continuation line.
#
# variableName	     variableDefault	variableDescription
cntProbe            internal            Counts the number of objective function invocations (or probes).
cntProbeLmt         2147483647          Stop if the solver reaches this value.
cntRestart          internal            Counts the number of restarts within the solver.
cntRestartLmt       2147483647          Stop if the solver reaches this value.
cntStep             internal            Counts the number of pivot steps during the walk.
commandLine         internal            Example: B.lightp.main ../xBenchm/lightp/i-6-a-0.txt  -seedInit 12
commandName         internal            Example: B.lightp.main
compiler            internal            Example formats: tcl-8.5.6, python-2.7.1, etc
coordBest           internal            A follow-up coordinate on coordInit, associated with valueBest.
coordInit           NA                  If NA, a random binary coordinate is generated internally as a binary string
coordInit           NA                  of size nDim — unless the initial coordinate is entered by the user.
coordPivot          internal            A coordinate associated also with coordInit or coordBest.
coordRef            internal            A binary coordinate of all 0’s defined to have a rank of 0 in the Hasse graph.
coordType           internal            A coordinate type: B for binary, P for permutation, T for ternary, etc.
dateLine            internal            A string of words to express date and time, e.g. Tue Apr 21 15:53:42 EDT 2015
functionDomain      internal            The name of the project directory, e.g. B.lightp, P.lop, P2A.cryptp, etc.
functionID          internal            The substring name of the project directory, e.g. lightp, lop, labs, etc.
globalArrays        internal            all_info all_valu aV aStruc aCoordHash0 aWalkProbed
hostID              internal            A string of contiguous non-space characters derived from platform environment.
infoSolutionsFile   internal            A required file read by the program to determine valueBestKnown that also
infoSolutionsFile   internal            defines the stopping criterion. The file also archives <= 2 coordBest strings.
infoSolutionsFile   internal            The file name is B.lightp/xBenchm/lightp/B.lightp.info_solutions.txt
instanceDef	    required	        A required command-line argument: here a character string as per below.
instanceDef         required            A character string stored in infoSolutionsFile (for file location, see above). 
instanceDef         required            Example: i-6-a-0 (instanceDim=6, valueTarget=0).
instanceDim         internal            An integer substring within instanceDef, an integer value that has a value
instanceDim         internal            equivalent to nDim before any variable reductions (due to symmetry etc).
instanceID	    internal            Here, an alias to instanceDef (see above).
instanceInit	    internal            A binary string of length nDim that initializes the instance M*N matrix.
