# thisFile = xPeriment-B.lightpP-1901/xPer-B.lightpP-1901-i-30-z-0-100-1901-sample.txt 
# configuration file = xPeriment-B.lightpP-1901.tcl 
# created on Sat Aug 29 01:06:18 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
i-30-z-0-1-1901	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.43	4425	2211	0	1289	001100101101010010101101001100
i-30-z-0-2-53335	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	8.68	11339	5668	0	1307	001100101101010010101101001100
i-30-z-0-3-567930	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.24	2883	1440	0	1288	001100101101010010101101001100
i-30-z-0-4-256020	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.78	7603	3800	0	1314	001100101101010010101101001100
i-30-z-0-5-304520	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	6.34	8373	4185	0	1321	001100101101010010101101001100
i-30-z-0-6-887245	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	13.3	17555	8776	0	1315	001100101101010010101101001100
i-30-z-0-7-244841	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	7.19	9613	4805	0	1336	001100101101010010101101001100
i-30-z-0-8-843586	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	11.3	14997	7497	0	1329	001100101101010010101101001100
i-30-z-0-9-436548	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.81	5059	2528	0	1326	001100101101010010101101001100
i-30-z-0-10-558338	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.33	4423	2210	0	1327	001100101101010010101101001100
i-30-z-0-11-545556	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	16.9	22341	11169	0	1323	001100101101010010101101001100
i-30-z-0-12-229548	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	16.4	21585	10791	0	1319	001100101101010010101101001100
i-30-z-0-13-236192	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.95	5161	2579	0	1305	001100101101010010101101001100
i-30-z-0-14-173257	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.94	6527	3262	0	1320	001100101101010010101101001100
i-30-z-0-15-842560	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.25	1705	851	0	1362	001100101101010010101101001100
i-30-z-0-16-478777	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.0618	83	40	0	1341	001100101101010010101101001100
i-30-z-0-17-267593	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.64	4735	2366	0	1300	001100101101010010101101001100
i-30-z-0-18-591342	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.85	7763	3880	0	1326	001100101101010010101101001100
i-30-z-0-19-818716	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	20.6	27197	13597	0	1321	001100101101010010101101001100
i-30-z-0-20-91757	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	9.60	12767	6382	0	1329	001100101101010010101101001100
i-30-z-0-21-512826	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.0266	37	17	0	1391	001100101101010010101101001100
i-30-z-0-22-997742	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.36	7159	3578	0	1336	001100101101010010101101001100
i-30-z-0-23-775817	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.43	7075	3536	0	1302	001100101101010010101101001100
i-30-z-0-24-252183	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.42	1957	977	0	1374	001100101101010010101101001100
i-30-z-0-25-594027	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	12.1	15973	7985	0	1325	001100101101010010101101001100
i-30-z-0-26-997677	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	15.4	20019	10008	0	1301	001100101101010010101101001100
i-30-z-0-27-225861	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	11.0	14383	7190	0	1304	001100101101010010101101001100
i-30-z-0-28-256367	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	9.35	12201	6099	0	1304	001100101101010010101101001100
i-30-z-0-29-948132	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.68	7325	3661	0	1289	001100101101010010101101001100
i-30-z-0-30-186147	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	18.3	23843	11920	0	1303	001100101101010010101101001100
i-30-z-0-31-364649	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.650	877	437	0	1349	001100101101010010101101001100
i-30-z-0-32-122908	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	28.0	36245	18121	0	1294	001100101101010010101101001100
i-30-z-0-33-46465	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.30	5635	2816	0	1308	001100101101010010101101001100
i-30-z-0-34-903326	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.84	6213	3105	0	1284	001100101101010010101101001100
i-30-z-0-35-504012	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.23	1543	770	0	1258	001100101101010010101101001100
i-30-z-0-36-623677	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.51	4787	2392	0	1363	001100101101010010101101001100
i-30-z-0-37-93095	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.57	2039	1018	0	1301	001100101101010010101101001100
i-30-z-0-38-510387	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	32.5	42733	21365	0	1316	001100101101010010101101001100
i-30-z-0-39-177077	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	24.5	32575	16286	0	1330	001100101101010010101101001100
i-30-z-0-40-316911	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.16	2789	1393	0	1293	001100101101010010101101001100
i-30-z-0-41-771978	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	17.5	21873	10935	0	1250	001100101101010010101101001100
i-30-z-0-42-278615	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	21.5	27769	13883	0	1292	001100101101010010101101001100
i-30-z-0-43-400843	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.12	4139	2068	0	1325	001100101101010010101101001100
i-30-z-0-44-1612	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.59	2073	1035	0	1300	001100101101010010101101001100
i-30-z-0-45-38914	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.24	3001	1499	0	1340	001100101101010010101101001100
i-30-z-0-46-661487	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.51	5983	2990	0	1325	001100101101010010101101001100
i-30-z-0-47-536865	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	19.6	26029	13013	0	1329	001100101101010010101101001100
i-30-z-0-48-34631	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	12.3	16277	8137	0	1327	001100101101010010101101001100
i-30-z-0-49-285141	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.24	5495	2746	0	1295	001100101101010010101101001100
i-30-z-0-50-816448	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.80	2351	1174	0	1306	001100101101010010101101001100
i-30-z-0-51-764053	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	7.44	9881	4939	0	1328	001100101101010010101101001100
i-30-z-0-52-841644	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	6.37	8447	4222	0	1327	001100101101010010101101001100
i-30-z-0-53-990163	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.942	1269	633	0	1347	001100101101010010101101001100
i-30-z-0-54-850921	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.39	1855	926	0	1338	001100101101010010101101001100
i-30-z-0-55-266224	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	18.5	24427	12212	0	1323	001100101101010010101101001100
i-30-z-0-56-516110	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	24.8	32955	16476	0	1326	001100101101010010101101001100
i-30-z-0-57-967838	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	22.8	28787	14392	0	1263	001100101101010010101101001100
i-30-z-0-58-269800	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.26	1663	830	0	1322	001100101101010010101101001100
i-30-z-0-59-895241	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	24.0	31859	15928	0	1327	001100101101010010101101001100
i-30-z-0-60-20995	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	10.2	12683	6340	0	1249	001100101101010010101101001100
i-30-z-0-61-635862	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.94	5127	2562	0	1300	001100101101010010101101001100
i-30-z-0-62-881044	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	8.10	10741	5369	0	1326	001100101101010010101101001100
i-30-z-0-63-579016	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.94	5151	2574	0	1308	001100101101010010101101001100
i-30-z-0-64-483939	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	7.06	9329	4663	0	1320	001100101101010010101101001100
i-30-z-0-65-265656	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	14.9	19193	9595	0	1291	001100101101010010101101001100
i-30-z-0-66-802646	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.85	5049	2523	0	1310	001100101101010010101101001100
i-30-z-0-67-279501	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.419	559	278	0	1335	001100101101010010101101001100
i-30-z-0-68-943323	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.86	3791	1894	0	1326	001100101101010010101101001100
i-30-z-0-69-620924	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	11.8	15429	7713	0	1307	001100101101010010101101001100
i-30-z-0-70-969565	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.36	5787	2892	0	1327	001100101101010010101101001100
i-30-z-0-71-435561	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	20.1	26385	13191	0	1313	001100101101010010101101001100
i-30-z-0-72-730541	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.62	2129	1063	0	1318	001100101101010010101101001100
i-30-z-0-73-747287	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	8.73	11549	5773	0	1322	001100101101010010101101001100
i-30-z-0-74-479088	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	9.09	11851	5924	0	1303	001100101101010010101101001100
i-30-z-0-75-175845	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.16	4027	2012	0	1275	001100101101010010101101001100
i-30-z-0-76-262356	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.98	6483	3240	0	1302	001100101101010010101101001100
i-30-z-0-77-727946	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.40	4379	2188	0	1287	001100101101010010101101001100
i-30-z-0-78-406727	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.04	1405	701	0	1346	001100101101010010101101001100
i-30-z-0-79-969958	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.46	5917	2957	0	1327	001100101101010010101101001100
i-30-z-0-80-129911	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.76	7477	3737	0	1297	001100101101010010101101001100
i-30-z-0-81-205595	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	5.49	7295	3646	0	1329	001100101101010010101101001100
i-30-z-0-82-511553	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	4.85	6279	3138	0	1293	001100101101010010101101001100
i-30-z-0-83-550138	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.68	4805	2401	0	1304	001100101101010010101101001100
i-30-z-0-84-935693	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.97	3973	1985	0	1336	001100101101010010101101001100
i-30-z-0-85-987601	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	13.1	16827	8412	0	1283	001100101101010010101101001100
i-30-z-0-86-851107	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	7.78	10267	5132	0	1319	001100101101010010101101001100
i-30-z-0-87-732253	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.79	3757	1877	0	1344	001100101101010010101101001100
i-30-z-0-88-939981	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	1.36	1751	874	0	1289	001100101101010010101101001100
i-30-z-0-89-21636	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	6.65	8673	4335	0	1305	001100101101010010101101001100
i-30-z-0-90-951584	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	2.38	2849	1423	0	1195	001100101101010010101101001100
i-30-z-0-91-254592	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.62	4731	2364	0	1308	001100101101010010101101001100
i-30-z-0-92-468558	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	8.56	11225	5611	0	1311	001100101101010010101101001100
i-30-z-0-93-82936	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.964	1309	653	0	1357	001100101101010010101101001100
i-30-z-0-94-217997	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	8.70	11387	5692	0	1309	001100101101010010101101001100
i-30-z-0-95-843201	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	0.880	1219	608	0	1385	001100101101010010101101001100
i-30-z-0-96-794500	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	3.07	4055	2026	0	1318	001100101101010010101101001100
i-30-z-0-97-772679	30	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	B.lightp	B.lightpP	0.0	0	1	0	1800.0	12.3	16119	8058	0	1315	001100101101010010101101001100
