# thisFile = xPeriment-B.ogrT-100-MS/xPer-B.ogrT-MS-5,11-100-1901-sample.txt 
# configuration file = xPeriment-B.ogrT-100-MS.tcl 
# created on Mon Aug 31 02:48:59 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
5,11-1-1901	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	9	1	0	14263	0011000010
5,11-2-53335	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-2	0	1	3600	0.00300	54	11	0	18569	0000010011
5,11-3-567930	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	9	1	0	13413	0100001100
5,11-4-256020	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00200	44	9	0	17828	1001000010
5,11-5-304520	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00200	35	7	0	16596	0100001100
5,11-6-887245	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	18	3	0	13793	0011000010
5,11-7-244841	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	18	3	0	13772	0100001100
5,11-8-843586	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	9	1	0	13393	0011000010
5,11-9-436548	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00400	79	17	0	19715	0100001001
5,11-10-558338	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00200	36	7	0	16682	0100001001
5,11-11-545556	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00100	9	1	0	12766	0100001001
5,11-12-229548	10	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-3	-3	1	0	3600	0.00200	36	7	0	17102	0100001001
