# thisFile = xPeriment-B.ogrT-100-1901/xPer-B.ogrT-1901-11,72-100-1901-sample.txt 
# configuration file = xPeriment-B.ogrT-100-1901.tcl 
# created on Fri Aug 28 22:40:27 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
11,72-1-1901	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	239.	1627845	23278	0	6802	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-2-53335	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	268.	1821708	26050	0	6789	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-3-567930	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.56e+03	10628619	152034	0	6837	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-4-256020	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	246.	1668516	23860	0	6783	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-5-304520	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	925.	6281685	89840	0	6788	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-6-887245	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	277.	1883001	26926	0	6795	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-7-244841	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	539.	3687097	52728	0	6840	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-8-843586	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	507.	3452038	49366	0	6808	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-9-436548	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.09e+03	7435238	106344	0	6816	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-10-558338	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	158.	1070244	15304	0	6775	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-11-545556	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	363.	2474678	35388	0	6821	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-12-229548	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	584.	3971882	56800	0	6806	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-13-236192	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	127.	868008	12412	0	6832	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-14-173257	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	726.	4947400	70754	0	6814	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-15-842560	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	139.	949972	13584	0	6841	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-16-478777	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.06e+03	7202284	103010	0	6819	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-17-267593	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	529.	3592451	51374	0	6785	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-18-591342	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	242.	1652875	23636	0	6824	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-19-818716	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	139.	945472	13520	0	6806	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-20-91757	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	771.	5233419	74846	0	6788	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-21-512826	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	804.	5500780	78670	0	6839	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-22-997742	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	263.	1796615	25692	0	6840	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-23-775817	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	107.	733205	10484	0	6850	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-24-252183	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	439.	2983039	42658	0	6799	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-25-594027	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.21e+03	8236919	117810	0	6826	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-26-997677	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	24.5	169833	2428	0	6926	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-27-225861	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.71e+03	11644667	166572	0	6825	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-28-256367	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	157.	1073370	15348	0	6829	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-29-948132	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	2.60e+03	17781750	254412	0	6831	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-30-186147	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	139.	945800	13524	0	6827	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-31-364649	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	190.	1297498	18554	0	6812	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-32-122908	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	71.7	490515	7014	0	6839	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-33-46465	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	45.0	311344	4452	0	6925	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-34-903326	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	124.	844079	12070	0	6812	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-35-504012	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	277.	1881743	26908	0	6800	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-36-623677	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	14.5	100004	1430	0	6890	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-37-93095	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	915.	6220685	88966	0	6801	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-38-510387	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	965.	6560573	93830	0	6797	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-39-177077	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.01e+03	6886229	98488	0	6838	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-40-316911	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	834.	5675616	81170	0	6806	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-41-771978	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	242.	1643600	23502	0	6792	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-42-278615	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	311.	2110181	30176	0	6789	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-43-400843	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	712.	4868129	69622	0	6841	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-44-1612	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	411.	2789114	39884	0	6784	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-45-38914	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	421.	2860557	40906	0	6791	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-46-661487	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	451.	3066902	43858	0	6803	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-47-536865	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	302.	2060267	29464	0	6814	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-48-34631	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	199.	1356057	19390	0	6810	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-49-285141	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	135.	922011	13184	0	6812	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-50-816448	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	177.	1214565	17368	0	6859	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-51-764053	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	114.	774341	11072	0	6812	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-52-841644	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	425.	2886975	41284	0	6789	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-53-990163	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	80.8	547451	7828	0	6778	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-54-850921	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	49.3	337414	4824	0	6838	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-55-266224	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	537.	3640694	52064	0	6777	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-56-516110	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	166.	1129142	16146	0	6820	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-57-967838	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	383.	2607184	37284	0	6809	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-58-269800	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.11e+03	7566203	108218	0	6799	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-59-895241	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.52e+03	10386054	148558	0	6831	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-60-20995	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	536.	3654897	52268	0	6824	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-61-635862	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	432.	2907358	41576	0	6736	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-62-881044	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	577.	3925250	56136	0	6799	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-63-579016	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	788.	5348905	76500	0	6787	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-64-483939	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	140.	957551	13692	0	6828	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-65-265656	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	174.	1186103	16960	0	6815	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-66-802646	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	998.	6794603	97180	0	6807	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-67-279501	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	62.4	425242	6080	0	6816	10010000000010000000000000010000100000000000001000000100000000010000010
11,72-68-943323	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.47e+03	10011555	143212	0	6803	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-69-620924	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	1.07e+03	7275091	104052	0	6814	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-70-969565	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	136.	922011	13184	0	6785	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-71-435561	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	729.	4968360	71054	0	6818	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-72-730541	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	549.	3733450	53390	0	6796	10000000100000000010000100000010000000000000000000010001010000000000100
11,72-73-747287	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	133.	902975	12912	0	6798	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-74-479088	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	305.	2092860	29928	0	6851	00100000000001010001000000000000000000001000000100001000000000100000001
11,72-75-175845	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	51.7	354840	5074	0	6857	01000001000000000100000010000000000000100001000000000000001000000001001
11,72-76-262356	71	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-9	-9	1	0	3600	743.	5047061	72180	0	6792	10010000000010000000000000010000100000000000001000000100000000010000010
