# thisFile = xPeriment-B.ogrT-100-1901/xPer-B.ogrT-1901-7,25-100-1901-sample.txt 
# configuration file = xPeriment-B.ogrT-100-1901.tcl 
# created on Fri Aug 28 20:08:25 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
7,25-1-1901	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0180	278	12	0	15190	100100000100000001000010
7,25-2-53335	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.195	2972	130	0	15245	000100001000001000000110
7,25-3-567930	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0370	507	22	0	13801	100000000010000100100010
7,25-4-256020	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0340	507	22	0	15076	000100001000001000000110
7,25-5-304520	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.00300	48	2	0	14097	010010000000010001000001
7,25-6-887245	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.162	2473	108	0	15239	010000100000100000001100
7,25-7-244841	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.198	3072	134	0	15532	010000100000001000001001
7,25-8-843586	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0210	277	12	0	13198	010001001000010000000001
7,25-9-436548	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0240	368	16	0	15501	010010000000010001000001
7,25-10-558338	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0570	871	38	0	15368	100100000100000001000010
7,25-11-545556	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0180	278	12	0	15225	100000100010000000010010
7,25-12-229548	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0160	232	10	0	14927	011000000100000100001000
7,25-13-236192	24	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-5	-5	1	0	3600	0.0580	780	34	0	13429	010000100000100000001100
