# thisFile = xPeriment-B.ogrT-100-WT/xPer-B.ogrT-WT-10,55-100-1901-sample.txt 
# configuration file = xPeriment-B.ogrT-100-WT.tcl 
# created on Mon Aug 31 19:05:55 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
10,55-1-1901	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	26.7	358370	6645	0	13429	100001000100000000000010010000000100000010000000000010
10,55-2-53335	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	356.	4768358	88641	0	13411	100001000100000000000010010000000100000010000000000010
10,55-3-567930	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	156.	2091384	38819	0	13400	100001000100000000000010010000000100000010000000000010
10,55-4-256020	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	2.54	34907	647	0	13720	100001000100000000000010010000000100000010000000000010
10,55-5-304520	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	5.78	77295	1433	0	13383	010000000000010000001000000010010000000000001000100001
10,55-6-887245	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	4.58	62842	1165	0	13709	100001000100000000000010010000000100000010000000000010
10,55-7-244841	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	4.52	61866	1147	0	13688	100001000100000000000010010000000100000010000000000010
10,55-8-843586	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	80.8	1083882	20107	0	13416	010000000000010000001000000010010000000000001000100001
10,55-9-436548	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	47.6	641379	11895	0	13487	100001000100000000000010010000000100000010000000000010
10,55-10-558338	54	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	B.ogr	B.ogrT	-8	-8	1	0	3600	18.3	248332	4605	0	13558	100001000100000000000010010000000100000010000000000010
