# created by the command P.lop.table_asymp_ranks 
# on Sun Aug 02 10:11:04 EDT 2015  
# P.lop.table_asymp_ranks 1 11 pal xPeriment-P.lopP-100-tableau/xPer-P.lopP-tableau-pal-11-35-100-1901-sample.txt 
#  
instanceSize	rank	rankMid	rankMax 	sizeAl	sizeUniq	coordBest
	  
# coordSizeAll = 100, coordSizeUniq = 98
11	12	27	55	100	98	1,10,2,5,3,6,4,7,8,11,9
11	14	27	55	100	98	1,10,4,2,5,3,7,8,6,11,9
11	24	27	55	100	98	1,10,4,8,2,11,5,9,3,6,7
11	14	27	55	100	98	1,2,5,6,10,11,3,4,7,8,9
11	16	27	55	100	98	1,2,5,6,9,7,10,11,3,4,8
11	18	27	55	100	98	1,2,6,11,4,7,5,9,10,3,8
11	16	27	55	100	98	1,2,7,5,6,10,11,3,4,8,9
11	16	27	55	100	98	1,4,2,6,7,11,5,9,10,3,8
11	24	27	55	100	98	1,5,6,10,11,3,4,8,9,2,7
11	22	27	55	100	98	1,6,4,7,5,10,8,11,9,2,3
11	34	27	55	100	98	10,11,3,4,8,9,1,2,6,7,5
11	34	27	55	100	98	10,11,5,3,4,8,9,1,2,6,7
11	22	27	55	100	98	10,2,3,4,7,5,8,6,11,9,1
11	24	27	55	100	98	10,2,3,6,4,7,8,11,9,1,5
11	26	27	55	100	98	10,2,3,7,8,6,11,1,4,5,9
11	28	27	55	100	98	10,3,4,8,2,6,7,11,9,1,5
11	28	27	55	100	98	10,4,2,7,11,5,3,8,1,6,9
11	32	27	55	100	98	10,4,8,2,11,5,9,3,1,6,7
11	18	27	55	100	98	11,1,4,2,5,9,3,6,7,10,8
11	24	27	55	100	98	11,3,1,6,4,7,5,10,8,9,2
11	28	27	55	100	98	11,4,5,8,9,3,1,2,6,7,10
11	30	27	55	100	98	11,4,5,9,3,7,8,1,2,6,10
11	28	27	55	100	98	11,5,3,8,1,6,4,9,7,10,2
11	30	27	55	100	98	11,9,3,4,7,8,1,2,5,6,10
11	16	27	55	100	98	2,11,3,1,6,4,7,5,9,10,8
11	12	27	55	100	98	2,3,7,1,5,6,10,4,8,11,9
11	28	27	55	100	98	2,5,6,10,11,4,9,3,7,8,1
11	18	27	55	100	98	2,7,1,5,10,3,8,6,11,4,9
11	20	27	55	100	98	2,7,11,1,5,3,6,10,4,8,9
11	28	27	55	100	98	2,7,11,5,10,3,8,1,6,4,9
11	22	27	55	100	98	2,7,11,5,3,8,1,6,4,9,10
11	8	27	55	100	98	3,1,4,2,6,7,5,10,8,11,9
11	10	27	55	100	98	3,1,4,5,8,9,2,6,7,10,11
11	12	27	55	100	98	3,1,6,4,7,5,8,9,10,2,11
11	18	27	55	100	98	3,4,8,9,7,1,2,5,6,10,11
11	18	27	55	100	98	3,4,9,7,8,1,2,5,6,10,11
11	28	27	55	100	98	3,6,10,4,7,8,11,9,1,2,5
11	22	27	55	100	98	3,6,4,8,9,7,1,10,2,11,5
11	18	27	55	100	98	3,7,1,10,4,8,2,5,6,11,9
11	10	27	55	100	98	3,8,1,4,2,5,6,9,7,10,11
11	24	27	55	100	98	3,8,11,1,6,4,9,2,7,5,10
11	22	27	55	100	98	4,2,7,5,10,3,8,6,11,9,1
11	26	27	55	100	98	4,2,7,5,10,8,11,9,3,1,6
11	28	27	55	100	98	4,5,8,6,9,10,2,11,3,7,1
11	22	27	55	100	98	4,7,5,8,9,1,10,2,3,6,11
11	24	27	55	100	98	4,8,2,6,7,11,1,5,9,10,3
11	24	27	55	100	98	4,8,9,1,2,6,7,11,5,10,3
11	22	27	55	100	98	4,8,9,1,2,7,5,6,10,11,3
11	28	27	55	100	98	5,10,3,6,4,8,9,2,7,11,1
11	28	27	55	100	98	5,10,8,2,11,3,1,6,4,9,7
11	20	27	55	100	98	5,3,6,4,9,7,1,10,8,2,11
11	24	27	55	100	98	5,6,9,3,7,1,10,4,8,2,11
11	32	27	55	100	98	5,8,6,11,9,3,1,10,4,2,7
11	28	27	55	100	98	5,8,6,9,7,1,10,2,11,3,4
11	24	27	55	100	98	5,8,9,1,2,6,7,10,11,3,4
11	24	27	55	100	98	5,8,9,3,1,6,10,4,2,7,11
11	30	27	55	100	98	5,9,10,2,3,8,6,7,11,1,4
11	28	27	55	100	98	5,9,10,3,8,1,2,6,7,11,4
11	36	27	55	100	98	6,10,11,3,4,9,7,8,1,2,5
11	32	27	55	100	98	6,11,4,9,7,1,5,10,2,3,8
11	38	27	55	100	98	6,11,5,9,10,3,4,7,8,1,2
11	28	27	55	100	98	6,4,7,8,11,1,5,9,10,2,3
11	26	27	55	100	98	6,4,9,7,1,5,10,8,2,11,3
11	32	27	55	100	98	6,4,9,7,10,8,11,1,2,5,3
11	36	27	55	100	98	6,7,10,8,11,4,9,1,2,5,3
11	36	27	55	100	98	6,7,11,4,5,9,10,3,8,1,2
11	32	27	55	100	98	6,7,11,9,1,10,4,2,5,3,8
11	30	27	55	100	98	6,9,10,4,2,3,7,8,11,1,5
