# thisFile = xPeriment-P.lopP-100-simple-20150723-1902-VCL/xPer-P.lopP-VCL-pal-11-35-100-1902-sample.txt 
# configuration file = xPeriment-P.lopP-100-simple-20150723-1902-VCL.tcl 
# created on Thu Jul 23 20:17:32 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-11-35-1-1902	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00299	119	12	0	39805	6,7,10,11,3,4,8,9,1,2,5
pal-11-35-2-184873	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00877	348	38	0	39675	7,5,8,6,11,9,1,10,2,3,4
pal-11-35-3-785507	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00454	181	19	0	39836	11,4,9,2,3,7,1,5,8,6,10
pal-11-35-4-853350	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00986	396	44	0	40153	6,4,7,8,11,9,1,10,2,5,3
pal-11-35-5-771511	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00688	276	30	0	40110	7,1,10,4,2,11,5,3,8,6,9
pal-11-35-6-850468	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00409	164	17	0	40118	9,3,7,1,10,4,8,2,6,11,5
pal-11-35-7-679606	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.0161	649	72	0	40305	4,7,11,5,8,9,1,10,2,3,6
pal-11-35-8-870048	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00978	395	43	0	40400	7,1,10,4,5,8,2,6,11,9,3
pal-11-35-9-189498	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00305	119	12	0	39079	5,8,6,9,10,2,11,3,1,4,7
pal-11-35-10-147777	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00313	126	13	0	40210	5,3,8,6,11,9,1,10,4,2,7
pal-11-35-11-259718	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.0101	408	46	0	40571	1,6,4,5,9,7,10,8,2,11,3
pal-11-35-12-731260	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00318	128	13	0	40290	3,7,1,5,8,6,10,11,4,9,2
pal-11-35-13-322957	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00912	368	40	0	40346	8,1,6,11,4,9,2,7,5,10,3
pal-11-35-14-49445	11	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	7200.0	0.00338	137	14	0	40474	6,7,5,10,8,11,9,3,1,4,2
