# thisFile = xPeriment-P.lopP-100-simple-152.46.19.34.1903/xPer-P.lopP-152.46.19.34.1903-pal-23-161-100-1903-sample.txt 
# configuration file = xPeriment-P.lopP-100-simple-152.46.19.34.1903.tcl 
# created on Fri Jul 24 02:30:56 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-23-161-1-1903	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	153.	1903013	92869	0	12436	14,7,23,16,9,2,18,11,4,20,13,6,22,15,8,1,17,10,3,19,12,5,21
pal-23-161-2-316410	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	195.	2417941	117811	0	12425	14,18,22,3,7,11,15,19,23,4,8,12,16,20,1,5,9,13,17,21,2,6,10
pal-23-161-3-871546	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	45.6	569718	27780	0	12493	12,2,15,5,18,8,21,11,1,14,4,17,7,20,10,23,13,3,16,6,19,9,22
pal-23-161-4-233105	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	463.	5782259	282013	0	12478	9,2,18,11,4,20,13,6,22,15,8,1,17,10,3,19,12,5,21,14,7,23,16
pal-23-161-5-116105	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	15.5	193586	9468	0	12492	21,16,11,6,1,19,14,9,4,22,17,12,7,2,20,15,10,5,23,18,13,8,3
pal-23-161-6-194892	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	623.	7762121	379021	0	12457	6,1,19,14,9,4,22,17,12,7,2,20,15,10,5,23,18,13,8,3,21,16,11
pal-23-161-7-662606	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	124.	1551406	75733	0	12495	21,7,16,2,11,20,6,15,1,10,19,5,14,23,9,18,4,13,22,8,17,3,12
pal-23-161-8-727650	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	25.2	315655	15408	0	12530	2,10,18,3,11,19,4,12,20,5,13,21,6,14,22,7,15,23,8,16,1,9,17
pal-23-161-9-471542	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	146.	1823360	88909	0	12473	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4
pal-23-161-10-591696	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	87.5	1083337	52819	0	12380	18,13,8,3,21,16,11,6,1,19,14,9,4,22,17,12,7,2,20,15,10,5,23
pal-23-161-11-383093	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	12.8	159714	7907	0	12430	15,4,16,5,17,6,18,7,19,8,20,9,21,10,22,11,23,12,1,13,2,14,3
pal-23-161-12-205873	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	163.	2031107	99200	0	12495	10,14,18,22,3,7,11,15,19,23,4,8,12,16,20,1,5,9,13,17,21,2,6
pal-23-161-13-79058	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	30.9	386157	19597	0	12486	11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10
pal-23-161-14-114455	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	3.07	37514	1845	0	12213	4,20,13,6,22,15,8,1,17,10,3,19,12,5,21,14,7,23,16,9,2,18,11
pal-23-161-15-157541	23	brglez@bn19-34-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-161.0	-161	1	0	7200.0	127.	1582606	77099	0	12464	14,20,3,9,15,21,4,10,16,22,5,11,17,23,6,12,18,1,7,13,19,2,8
