# thisFile = xPeriment-P.lopP-100-tableau-20150723-VCL/xPer-P.lopP-VCL-pal-11-35-100-1901-sample.txt 
# configuration file = xPeriment-P.lopP-100-tableau-20150723-VCL.tcl 
# created on Thu Jul 23 11:59:43 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-11-35-1-1901	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00365	81	39	0	22183	4,8,9,1,2,7,5,6,10,11,3
pal-11-35-2-53335	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00269	59	28	0	21934	7,5,8,6,11,9,1,10,4,2,3
pal-11-35-3-567930	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00232	51	24	0	21943	3,1,4,2,6,7,5,10,8,11,9
pal-11-35-4-256020	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00133	29	13	0	21853	9,10,3,4,8,2,6,7,11,1,5
pal-11-35-5-304520	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00149	33	15	0	22160	4,2,7,5,10,8,11,9,3,1,6
pal-11-35-6-887245	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00318	71	34	0	22362	8,9,1,2,5,6,10,11,3,4,7
pal-11-35-7-244841	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00267	57	27	0	21380	1,6,4,7,5,10,8,11,9,2,3
pal-11-35-8-843586	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00103	23	10	0	22335	11,5,3,8,1,6,4,9,7,10,2
pal-11-35-9-436548	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00327	71	34	0	21741	1,5,6,10,11,3,4,8,9,2,7
pal-11-35-10-558338	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00440	97	47	0	22032	6,9,7,1,10,2,11,4,5,3,8
pal-11-35-11-545556	11	brglez@bn20-255-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopP	-35.0	-35	1	0	3600.0	0.00297	67	32	0	22584	3,6,4,8,9,7,1,10,2,11,5
