# created by the command table.sample.coordUniq 
# coordUniq=100 (from the original coordAll=100) 
coordBestUnique
1,10,2,8,19,6,11,17,9,15,7,12,13,18,5,16,3,14,4
1,10,7,8,14,15,12,2,13,18,19,5,16,6,11,17,3,4,9
1,12,18,10,8,19,17,5,9,16,14,6,4,15,2,7,13,11,3
1,6,7,12,13,17,18,4,5,10,2,11,16,3,8,9,14,15,19
1,7,5,16,14,6,12,4,2,13,11,18,3,10,8,19,17,9,15
10,15,2,7,8,12,13,19,5,11,16,17,3,9,14,1,18,6,4
10,19,16,17,14,4,15,1,5,2,6,3,7,11,8,12,9,13,18
10,19,17,7,4,5,2,11,9,18,16,8,14,6,15,13,3,1,12
10,2,11,8,17,9,14,18,6,15,3,19,7,12,16,4,13,1,5
10,2,8,19,6,17,4,9,15,7,13,5,11,16,3,14,1,12,18
10,8,19,6,17,15,7,5,16,3,14,12,4,2,11,9,13,1,18
11,17,18,15,3,19,7,16,14,4,1,8,5,12,2,9,6,13,10
11,3,12,4,9,10,15,16,1,17,2,7,8,13,14,18,19,5,6
11,8,9,18,6,15,13,3,1,12,10,19,17,7,5,16,14,4,2
11,9,1,18,6,15,3,12,10,19,7,16,4,8,13,17,5,14,2
12,10,16,17,14,2,18,3,19,6,7,4,11,8,9,15,13,1,5
12,10,16,17,2,3,7,4,11,8,9,13,14,18,15,19,1,5,6
12,2,19,11,9,16,6,13,3,1,10,17,7,14,18,4,8,15,5
12,2,19,9,7,18,16,6,4,13,1,10,11,8,17,15,5,3,14
13,17,14,18,4,15,5,2,3,19,9,1,6,10,7,11,16,8,12
13,3,10,19,17,7,14,4,11,15,1,8,5,12,2,9,18,16,6
13,3,10,19,7,11,16,1,8,17,5,14,12,4,2,9,18,6,15
14,1,6,7,12,18,4,10,15,16,2,8,13,19,11,17,5,3,9
14,11,15,12,19,16,4,13,1,17,5,2,9,18,6,3,10,7,8
14,11,15,19,16,1,17,2,18,6,3,7,4,8,5,12,9,13,10
14,12,19,9,16,6,4,13,1,10,17,2,7,11,18,8,15,5,3
14,2,9,18,6,15,3,12,10,19,7,16,4,13,11,1,8,17,5
14,4,2,13,11,1,18,8,6,17,15,5,3,12,19,9,10,7,16
15,12,19,16,1,2,6,7,13,11,17,18,3,4,8,5,9,10,14
15,19,1,5,2,9,6,7,11,12,16,13,17,18,3,4,10,8,14
15,5,12,2,19,11,9,16,6,13,3,1,10,17,7,14,18,4,8
15,5,16,2,3,8,14,19,9,1,6,7,12,4,13,10,11,17,18
16,2,8,13,19,17,5,3,9,14,1,6,7,11,12,18,4,10,15
16,3,8,9,14,1,6,12,10,17,15,2,7,13,18,19,4,5,11
16,4,1,5,2,6,7,11,3,8,12,9,13,10,17,14,18,15,19
16,6,3,4,10,11,8,17,9,14,15,1,12,2,7,13,18,19,5
17,14,2,11,9,18,15,3,19,7,16,4,1,8,5,6,12,13,10
17,15,3,7,14,12,4,2,13,19,5,11,9,1,18,10,16,8,6
17,15,5,12,2,9,7,18,16,6,13,3,10,14,19,4,11,1,8
17,18,3,4,8,5,9,10,14,15,19,16,1,2,6,7,11,12,13
17,18,4,10,2,8,19,9,6,15,7,13,5,11,16,3,14,1,12
17,2,18,3,7,4,8,5,9,6,13,10,14,11,15,12,19,16,1
17,4,15,7,13,5,11,3,12,9,10,16,14,1,2,18,8,19,6
17,4,9,15,1,2,7,13,18,5,6,10,11,16,3,8,14,12,19
