# thisFile = xPeriment-P.lopT-100-simple-20150723-1902-VCL/xPer-P.lopT-VCL-pal-13-55-100-1902-sample.txt 
# configuration file = xPeriment-P.lopT-100-simple-20150723-1902-VCL.tcl 
# created on Thu Jul 23 20:29:49 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-13-55-1-1902	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0370	547	50	0	14767	3,8,12,6,9,7,1,10,4,13,2,11,5
pal-13-55-2-184873	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0290	425	39	0	14584	10,8,2,11,9,3,12,6,1,4,13,7,5
pal-13-55-3-785507	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.195	2875	271	0	14727	8,9,12,13,7,1,10,2,11,5,3,6,4
pal-13-55-4-853350	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0580	843	79	0	14492	11,9,3,12,1,10,4,13,7,5,8,2,6
pal-13-55-5-771511	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0320	468	43	0	14738	8,11,9,2,3,12,6,7,1,10,4,13,5
pal-13-55-6-850468	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.209	3066	293	0	14654	9,10,3,12,4,13,7,8,1,2,5,11,6
pal-13-55-7-679606	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.579	8486	821	0	14660	12,7,9,1,10,4,13,8,2,11,5,3,6
pal-13-55-8-870048	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.113	1670	159	0	14753	8,9,3,12,4,13,6,7,1,10,2,11,5
pal-13-55-9-189498	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.152	2231	209	0	14693	9,12,6,7,1,10,4,13,8,2,11,5,3
pal-13-55-10-147777	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.131	1934	180	0	14805	13,8,11,9,3,12,6,7,1,10,4,2,5
pal-13-55-11-259718	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.561	8224	784	0	14654	8,11,12,6,9,3,7,1,10,4,13,2,5
pal-13-55-12-731260	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0650	951	87	0	14738	8,12,9,7,1,10,13,2,11,5,3,6,4
pal-13-55-13-322957	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0700	1009	93	0	14400	9,7,1,10,13,8,2,11,5,3,12,6,4
pal-13-55-14-49445	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.221	3185	304	0	14381	12,9,10,3,1,4,13,7,8,2,11,5,6
pal-13-55-15-885934	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0280	408	37	0	14518	9,7,8,1,10,2,11,3,12,4,13,5,6
pal-13-55-16-798800	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.116	1706	160	0	14660	8,9,2,3,12,6,1,10,4,13,7,11,5
pal-13-55-17-385168	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.176	2579	243	0	14694	8,9,2,3,12,13,6,7,1,10,11,4,5
pal-13-55-18-146783	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.228	3318	318	0	14536	8,9,2,3,12,6,7,1,10,4,13,11,5
pal-13-55-19-511157	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.229	3354	312	0	14635	8,9,3,12,1,10,13,2,11,6,4,7,5
pal-13-55-20-461173	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.953	8236	789	0	8639	11,9,3,12,6,1,10,4,13,7,2,5,8
pal-13-55-21-676371	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.906	9834	932	0	10848	9,10,3,12,4,13,7,8,1,2,5,11,6
pal-13-55-22-345304	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0150	211	19	0	14403	7,10,8,11,9,3,12,1,4,13,2,5,6
pal-13-55-23-524396	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.278	4040	384	0	14510	9,12,1,10,4,13,7,2,11,5,3,8,6
pal-13-55-24-889951	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.123	1812	169	0	14683	11,9,3,12,6,1,10,4,13,7,2,5,8
pal-13-55-25-186095	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.257	3766	357	0	14669	8,9,7,1,10,2,11,3,12,4,13,5,6
pal-13-55-26-524684	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0430	634	58	0	14593	9,7,10,8,2,11,3,12,6,1,4,13,5
pal-13-55-27-772834	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.160	2359	222	0	14706	8,11,9,2,3,12,6,7,1,10,4,13,5
pal-13-55-28-874961	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	1.08	15475	1496	0	14383	8,11,9,3,12,1,10,4,13,2,6,7,5
pal-13-55-29-434651	13	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-55.0	-55	1	0	7200	0.0650	955	89	0	14786	9,12,6,1,10,4,13,7,8,2,11,5,3
