# thisFile = xPeriment-P.lopT-100-simple-152.46.19.238-1903/xPer-P.lopT-1903-pal-23-161-100-1903-sample.txt 
# configuration file = xPeriment-P.lopT-100-simple-152.46.19.238-1903.tcl 
# created on Fri Jul 24 02:22:11 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-23-161-1-1903	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	74.0	401118	19933	0	5423	8,1,17,10,3,19,12,5,21,14,7,23,16,9,2,18,11,4,20,13,6,22,15
pal-23-161-2-316410	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	125.	743815	36357	0	5949	1,3,5,7,9,11,13,15,17,19,21,23,2,4,6,8,10,12,14,16,18,20,22
pal-23-161-3-871546	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	94.8	555320	27366	0	5860	8,14,20,3,9,15,21,4,10,16,22,5,11,17,23,6,12,18,1,7,13,19,2
pal-23-161-4-233105	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	24.6	147854	7194	0	6017	10,11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9
pal-23-161-5-116105	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	202.	1148928	56056	0	5691	23,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17
pal-23-161-6-194892	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	261.	1461023	71253	0	5588	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1
pal-23-161-7-662606	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	424.	2442532	119222	0	5766	23,18,13,8,3,21,16,11,6,1,19,14,9,4,22,17,12,7,2,20,15,10,5
pal-23-161-8-727650	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	70.5	408726	19951	0	5799	11,23,12,1,13,2,14,3,15,4,16,5,17,6,18,7,19,8,20,9,21,10,22
pal-23-161-9-471542	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	5.84	34584	1698	0	5924	13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12
pal-23-161-10-591696	23	brglez@bn19-238-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	230.	1187940	57895	0	5169	23,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
