# thisFile = xPeriment-P.lopT-100-tableau-1901-152.46.18.162/xPer-P.lopT-152.46.18.162-pal-23-161-100-1903-sample.txt 
# configuration file = xPeriment-P.lopT-100-tableau-1901-152.46.18.162.tcl 
# created on Sat Jul 25 13:46:33 EDT 2015 
#
instanceID	instanceDim	hostID	sandboxID	solverName	valueTarget	valueBest	targetReached	isCensored	runtimeLmt	runtime	cntProbe	walkLength	cntRestart	speedProbe	coordBest
pal-23-161-1-1903	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	11.6	37667	18833	0	3248	4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23,2
pal-23-161-2-316410	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	3.82	12407	6203	0	3244	21,11,1,14,4,17,7,20,10,23,13,3,16,6,19,9,22,12,2,15,5,18,8
pal-23-161-3-871546	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	10.8	34729	17364	0	3226	15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14
pal-23-161-4-233105	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	56.0	181109	90554	0	3236	10,3,19,12,5,21,14,7,23,16,9,2,18,11,4,20,13,6,22,15,8,1,17
pal-23-161-5-116105	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	45.5	145953	72976	0	3204	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1
pal-23-161-6-194892	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	3.27	10723	5361	0	3282	4,8,12,16,20,1,5,9,13,17,21,2,6,10,14,18,22,3,7,11,15,19,23
pal-23-161-7-662606	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	26.6	86009	43004	0	3233	2,5,8,11,14,17,20,23,3,6,9,12,15,18,21,1,4,7,10,13,16,19,22
pal-23-161-8-727650	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	21.5	69443	34721	0	3226	4,7,10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9,12,15,18,21,1
pal-23-161-9-471542	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	15.0	48469	24234	0	3240	23,4,8,12,16,20,1,5,9,13,17,21,2,6,10,14,18,22,3,7,11,15,19
pal-23-161-10-591696	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	48.7	155391	77695	0	3190	15,1,10,19,5,14,23,9,18,4,13,22,8,17,3,12,21,7,16,2,11,20,6
pal-23-161-11-383093	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	14.3	45917	22958	0	3219	5,21,14,7,23,16,9,2,18,11,4,20,13,6,22,15,8,1,17,10,3,19,12
pal-23-161-12-205873	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	15.2	48213	24106	0	3173	8,11,14,17,20,23,3,6,9,12,15,18,21,1,4,7,10,13,16,19,22,2,5
pal-23-161-13-79058	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	37.5	120389	60194	0	3212	17,6,18,7,19,8,20,9,21,10,22,11,23,12,1,13,2,14,3,15,4,16,5
pal-23-161-14-114455	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	1.22	4017	2008	0	3301	19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pal-23-161-15-157541	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	63.2	202573	101286	0	3208	11,4,20,13,6,22,15,8,1,17,10,3,19,12,5,21,14,7,23,16,9,2,18
pal-23-161-16-594681	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	47.1	151985	75992	0	3229	20,15,10,5,23,18,13,8,3,21,16,11,6,1,19,14,9,4,22,17,12,7,2
pal-23-161-17-23390	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	24.6	79371	39685	0	3228	2,5,8,11,14,17,20,23,3,6,9,12,15,18,21,1,4,7,10,13,16,19,22
pal-23-161-18-668864	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	13.3	42619	21309	0	3213	16,22,5,11,17,23,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10
pal-23-161-19-891128	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	69.9	222523	111261	0	3185	15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14
pal-23-161-20-6072	23	brglez@bn18-162-Linux-3.10.0-229.4.2.el7.x86_64	P.lop	P.lopT	-161.0	-161	1	0	7200	7.89	24945	12472	0	3160	6,14,22,7,15,23,8,16,1,9,17,2,10,18,3,11,19,4,12,20,5,13,21
